Problem - C:\Koba\Science\UCON\Experiments-with-line-search\SparseSystems\Matrices\Kuu.mtx
CPU time: 197748
x[0   ]=218.392              x[1775]=351.704              x[3550]=67.2444              x[5325]=253.875              
x[408 ]=190.72               x[2183]=310.276              x[3958]=87.3657              x[5733]=214.342              
x[409 ]=367.395              x[2184]=133.275              x[3959]=198.579              x[5734]=99.815               
x[410 ]=186.567              x[2185]=310.344              x[3960]=87.2707              x[5735]=215.972              
x[411 ]=367.275              x[2186]=134.108              x[3961]=197.931              x[5736]=102.844              
x[412 ]=182.608              x[2187]=310.459              x[3962]=87.242               x[5737]=217.882              
x[413 ]=366.842              x[2188]=134.697              x[3963]=197.305              x[5738]=106.261              
x[414 ]=178.858              x[2189]=310.561              x[3964]=87.2591              x[5739]=219.985              
x[415 ]=366.129              x[2190]=135.181              x[3965]=196.687              x[5740]=110.43               
x[416 ]=175.125              x[2191]=310.705              x[3966]=87.0497              x[5741]=222.426              
x[417 ]=365.06               x[2192]=135.589              x[3967]=195.96               x[5742]=115.471              
x[418 ]=171.63               x[2193]=310.905              x[3968]=86.8817              x[5743]=225.245              
x[419 ]=363.783              x[2194]=135.809              x[3969]=195.248              x[5744]=121.226              
x[420 ]=168.388              x[2195]=311.099              x[3970]=86.7326              x[5745]=228.334              
x[421 ]=362.341              x[2196]=135.977              x[3971]=194.536              x[5746]=128.074              
x[422 ]=165.208              x[2197]=311.342              x[3972]=86.3273              x[5747]=231.798              
x[423 ]=360.665              x[2198]=136.117              x[3973]=193.711              x[5748]=136.14               
x[424 ]=162.301              x[2199]=311.648              x[3974]=85.9307              x[5749]=235.613              
x[425 ]=358.898              x[2200]=136.114              x[3975]=192.895              x[5750]=145.242              
x[426 ]=159.677              x[2201]=311.957              x[3976]=85.5161              x[5751]=239.58               
x[427 ]=357.08               x[2202]=136.1                x[3977]=192.077              x[5752]=155.712              
x[428 ]=157.134              x[2203]=312.324              x[3978]=84.8039              x[5753]=243.688              
x[429 ]=355.132              x[2204]=136.099              x[3979]=191.143              x[5754]=167.607              
x[430 ]=154.875              x[2205]=312.761              x[3980]=84.0529              x[5755]=247.787              
x[431 ]=353.192              x[2206]=135.991              x[3981]=190.221              x[5756]=180.666              
x[432 ]=152.9                x[2207]=313.21               x[3982]=83.2296              x[5757]=251.562              
x[433 ]=351.286              x[2208]=135.909              x[3983]=189.299              x[5758]=195.139              
x[434 ]=150.999              x[2209]=313.726              x[3984]=82.0458              x[5759]=254.874              
x[435 ]=349.327              x[2210]=135.873              x[3985]=188.27               x[5760]=211.044              
x[436 ]=149.367              x[2211]=314.322              x[3986]=80.7498              x[5761]=257.513              
x[437 ]=347.44               x[2212]=135.764              x[3987]=187.263              x[5762]=-25.7871             
x[438 ]=147.997              x[2213]=314.939              x[3988]=79.2957              x[5763]=158.242              
x[439 ]=345.643              x[2214]=135.712              x[3989]=186.275              x[5764]=-10.6176             
x[440 ]=146.674              x[2215]=315.633              x[3990]=77.3802              x[5765]=159.572              
x[441 ]=343.838              x[2216]=135.739              x[3991]=185.201              x[5766]=2.82341              
x[442 ]=145.59               x[2217]=316.418              x[3992]=75.2332              x[5767]=160.512              
x[443 ]=342.141              x[2218]=135.724              x[3993]=184.18               x[5768]=14.6328              
x[444 ]=144.734              x[2219]=317.235              x[3994]=72.7871              x[5769]=161.2                
x[445 ]=340.561              x[2220]=135.8                x[3995]=183.214              x[5770]=24.698               
x[446 ]=143.888              x[2221]=318.14               x[3996]=69.7134              x[5771]=161.685              
x[447 ]=338.995              x[2222]=135.987              x[3997]=182.207              x[5772]=33.4437              
x[448 ]=143.244              x[2223]=319.147              x[3998]=66.2125              x[5773]=162.192              
x[449 ]=337.552              x[2224]=136.169              x[3999]=181.301              x[5774]=41.0105              
x[450 ]=142.791              x[2225]=320.196              x[4000]=62.1847              x[5775]=162.784              
x[451 ]=336.236              x[2226]=136.477              x[4001]=180.501              x[5776]=47.2869              
x[452 ]=142.31               x[2227]=321.344              x[4002]=57.267               x[5777]=163.392              
x[453 ]=334.939              x[2228]=136.936              x[4003]=179.707              x[5778]=52.697               
x[454 ]=141.994              x[2229]=322.603              x[4004]=51.6262              x[5779]=164.157              
x[455 ]=333.767              x[2230]=137.429              x[4005]=179.05               x[5780]=57.3649              
x[456 ]=141.833              x[2231]=323.915              x[4006]=45.1314              x[5781]=165.061              
x[457 ]=332.722              x[2232]=138.091              x[4007]=178.507              x[5782]=61.1511              
x[458 ]=141.609              x[2233]=325.332              x[4008]=37.3944              x[5783]=165.979              
x[459 ]=331.692              x[2234]=138.95               x[4009]=177.939              x[5784]=64.4397              
x[460 ]=141.517              x[2235]=326.868              x[4010]=28.5658              x[5785]=167.013              
x[461 ]=330.782              x[2236]=139.889              x[4011]=177.416              x[5786]=67.3101              
x[462 ]=141.545              x[2237]=328.459              x[4012]=18.5056              x[5787]=168.13               
x[463 ]=329.993              x[2238]=141.046              x[4013]=176.846              x[5788]=69.5766              
x[464 ]=141.481              x[2239]=330.157              x[4014]=6.82105              x[5789]=169.194              
x[465 ]=329.212              x[2240]=142.45               x[4015]=176.01               x[5790]=71.5802              
x[466 ]=141.516              x[2241]=331.969              x[4016]=-6.32473             x[5791]=170.315              
x[467 ]=328.544              x[2242]=143.984              x[4017]=174.895              x[5792]=73.362               
x[468 ]=141.641              x[2243]=333.828              x[4018]=-21.1434             x[5793]=171.463              
x[469 ]=327.988              x[2244]=145.788              x[4019]=173.311              x[5794]=74.7032              
x[470 ]=141.643              x[2245]=335.777              x[4020]=215.19               x[5795]=172.515              
x[471 ]=327.432              x[2246]=147.885              x[4021]=271.811              x[5796]=75.9175              
x[472 ]=141.713              x[2247]=337.816              x[4022]=200.38               x[5797]=173.586              
x[473 ]=326.979              x[2248]=150.16               x[4023]=269.592              x[5798]=77.0234              
x[474 ]=141.844              x[2249]=339.868              x[4024]=186.857              x[5799]=174.658              
x[475 ]=326.628              x[2250]=152.744              x[4025]=266.745              x[5800]=77.7834              
x[476 ]=141.818              x[2251]=341.966              x[4026]=174.573              x[5801]=175.613              
x[477 ]=326.268              x[2252]=155.656              x[4027]=263.473              x[5802]=78.4965              
x[478 ]=141.828              x[2253]=344.097              x[4028]=163.196              x[5803]=176.573              
x[479 ]=326.001              x[2254]=158.771              x[4029]=259.734              x[5804]=79.1689              
x[480 ]=141.863              x[2255]=346.17               x[4030]=153.075              x[5805]=177.525              
x[481 ]=325.827              x[2256]=162.211              x[4031]=255.926              x[5806]=79.5531              
x[482 ]=141.706              x[2257]=348.205              x[4032]=144.19               x[5807]=178.356              
x[483 ]=325.634              x[2258]=165.983              x[4033]=252.197              x[5808]=79.9402              
x[484 ]=141.546              x[2259]=350.173              x[4034]=136.149              x[5809]=179.191              
x[485 ]=325.524              x[2260]=169.948              x[4035]=248.465              x[5810]=80.3299              
x[486 ]=141.37               x[2261]=351.971              x[4036]=129.242              x[5811]=180.018              
x[487 ]=325.497              x[2262]=174.216              x[4037]=245.016              x[5812]=80.4692              
x[488 ]=140.96               x[2263]=353.604              x[4038]=123.389              x[5813]=180.726              
x[489 ]=325.44               x[2264]=178.778              x[4039]=241.904              x[5814]=80.6447              
x[490 ]=140.5                x[2265]=355.033              x[4040]=118.152              x[5815]=181.444              
x[491 ]=325.455              x[2266]=183.483              x[4041]=238.948              x[5816]=80.8529              
x[492 ]=139.976              x[2267]=356.147              x[4042]=113.786              x[5817]=182.159              
x[493 ]=325.542              x[2268]=188.425              x[4043]=236.354              x[5818]=80.8375              
x[494 ]=139.164              x[2269]=356.947              x[4044]=110.2                x[5819]=182.763              
x[495 ]=325.585              x[2270]=193.588              x[4045]=234.11               x[5820]=80.883               
x[496 ]=138.248              x[2271]=357.398              x[4046]=106.955              x[5821]=183.382              
x[497 ]=325.686              x[2272]=198.817              x[4047]=231.99               x[5822]=80.9836              
x[498 ]=137.21               x[2273]=357.395              x[4048]=104.323              x[5823]=184.007              
x[499 ]=325.842              x[2274]=204.232              x[4049]=230.171              x[5824]=80.882               
x[500 ]=135.825              x[2275]=356.968              x[4050]=102.234              x[5825]=184.529              
x[501 ]=325.935              x[2276]=209.883              x[4051]=228.625              x[5826]=80.8612              
x[502 ]=134.273              x[2277]=356.146              x[4052]=100.274              x[5827]=185.074              
x[503 ]=326.065              x[2278]=34.9357              x[4053]=227.121              x[5828]=80.9149              
x[504 ]=132.534              x[2279]=280.03               x[4054]=98.743               x[5829]=185.634              
x[505 ]=326.224              x[2280]=44.3206              x[4055]=225.839              x[5830]=80.7851              
x[506 ]=130.383              x[2281]=282.444              x[4056]=97.5945              x[5831]=186.099              
x[507 ]=326.29               x[2282]=53.2232              x[4057]=224.757              x[5832]=80.7548              
x[508 ]=127.999              x[2283]=284.515              x[4058]=96.4375              x[5833]=186.596              
x[509 ]=326.356              x[2284]=61.5993              x[4059]=223.649              x[5834]=80.8177              
x[510 ]=125.363              x[2285]=286.219              x[4060]=95.5912              x[5835]=187.117              
x[511 ]=326.41               x[2286]=69.3148              x[4061]=222.703              x[5836]=80.7163              
x[512 ]=122.25               x[2287]=287.56               x[4062]=95.0273              x[5837]=187.552              
x[513 ]=326.324              x[2288]=76.4924              x[4063]=221.905              x[5838]=80.7346              
x[514 ]=118.843              x[2289]=288.644              x[4064]=94.3691              x[5839]=188.031              
x[515 ]=326.182              x[2290]=83.1213              x[4065]=221.035              x[5840]=80.8674              
x[516 ]=115.126              x[2291]=289.506              x[4066]=93.9481              x[5841]=188.542              
x[517 ]=325.965              x[2292]=89.0994              x[4067]=220.289              x[5842]=80.8587              
x[518 ]=110.875              x[2293]=290.148              x[4068]=93.746               x[5843]=188.98               
x[519 ]=325.537              x[2294]=94.5686              x[4069]=219.657              x[5844]=80.9947              
x[520 ]=106.28               x[2295]=290.665              x[4070]=93.3949              x[5845]=189.473              
x[521 ]=324.977              x[2296]=99.5369              x[4071]=218.926              x[5846]=81.2727              
x[522 ]=101.326              x[2297]=291.08               x[4072]=93.2334              x[5847]=190.013              
x[523 ]=324.257              x[2298]=103.917              x[4073]=218.292              x[5848]=81.4403              
x[524 ]=95.7974              x[2299]=291.38               x[4074]=93.2489              x[5849]=190.495              
x[525 ]=323.238              x[2300]=107.862              x[4075]=217.751              x[5850]=81.7875              
x[526 ]=89.8827              x[2301]=291.643              x[4076]=93.0786              x[5851]=191.049              
x[527 ]=321.997              x[2302]=111.389              x[4077]=217.09               x[5852]=82.317               
x[528 ]=83.5712              x[2303]=291.878              x[4078]=93.0647              x[5853]=191.672              
x[529 ]=320.51               x[2304]=114.416              x[4079]=216.511              x[5854]=82.7823              
x[530 ]=76.6415              x[2305]=292.058              x[4080]=93.1981              x[5855]=192.26               
x[531 ]=318.648              x[2306]=117.102              x[4081]=216.009              x[5856]=83.4814              
x[532 ]=69.2935              x[2307]=292.251              x[4082]=93.1182              x[5857]=192.95               
x[533 ]=316.505              x[2308]=119.464              x[4083]=215.374              x[5858]=84.4265              
x[534 ]=61.5528              x[2309]=292.452              x[4084]=93.1693              x[5859]=193.742              
x[535 ]=314.022              x[2310]=121.423              x[4085]=214.807              x[5860]=85.3827              
x[536 ]=195.895              x[2311]=292.627              x[4086]=93.3437              x[5861]=194.542              
x[537 ]=371.818              x[2312]=123.134              x[4087]=214.305              x[5862]=86.6626              
x[538 ]=192.631              x[2313]=292.834              x[4088]=93.282               x[5863]=195.492              
x[539 ]=373.226              x[2314]=124.613              x[4089]=213.659              x[5864]=88.2962              
x[540 ]=189.401              x[2315]=293.066              x[4090]=93.3288              x[5865]=196.605              
x[541 ]=374.217              x[2316]=125.775              x[4091]=213.072              x[5866]=90.0705              
x[542 ]=186.271              x[2317]=293.281              x[4092]=93.4768              x[5867]=197.796              
x[543 ]=374.825              x[2318]=126.773              x[4093]=212.539              x[5868]=92.3255              
x[544 ]=183.134              x[2319]=293.535              x[4094]=93.3663              x[5869]=199.224              
x[545 ]=375.023              x[2320]=127.616              x[4095]=211.853              x[5870]=95.1236              
x[546 ]=180.116              x[2321]=293.819              x[4096]=93.3414              x[5871]=200.912              
x[547 ]=374.895              x[2322]=128.216              x[4097]=211.217              x[5872]=98.2901              
x[548 ]=177.233              x[2323]=294.089              x[4098]=93.3938              x[5873]=202.793              
x[549 ]=374.478              x[2324]=128.718              x[4099]=210.627              x[5874]=102.21               
x[550 ]=174.363              x[2325]=294.401              x[4100]=93.1625              x[5875]=205.037              
x[551 ]=373.744              x[2326]=129.129              x[4101]=209.876              x[5876]=106.995              
x[552 ]=171.639              x[2327]=294.746              x[4102]=92.9897              x[5877]=207.674              
x[553 ]=372.776              x[2328]=129.353              x[4103]=209.167              x[5878]=112.519              
x[554 ]=169.08               x[2329]=295.08               x[4104]=92.8648              x[5879]=210.63               
x[555 ]=371.618              x[2330]=129.534              x[4105]=208.498              x[5880]=119.209              
x[556 ]=166.568              x[2331]=295.461              x[4106]=92.4239              x[5881]=214.046              
x[557 ]=370.242              x[2332]=129.672              x[4107]=207.664              x[5882]=127.201              
x[558 ]=164.232              x[2333]=295.879              x[4108]=92.0059              x[5883]=217.897              
x[559 ]=368.735              x[2334]=129.669              x[4109]=206.868              x[5884]=136.37               
x[560 ]=162.09               x[2335]=296.292              x[4110]=91.5959              x[5885]=222.016              
x[561 ]=367.137              x[2336]=129.664              x[4111]=206.11               x[5886]=147.099              
x[562 ]=160.018              x[2337]=296.757              x[4112]=90.8248              x[5887]=226.411              
x[563 ]=365.418              x[2338]=129.656              x[4113]=205.187              x[5888]=159.453              
x[564 ]=158.14               x[2339]=297.267              x[4114]=90.0254              x[5889]=230.902              
x[565 ]=363.658              x[2340]=129.544              x[4115]=204.305              x[5890]=173.202              
x[566 ]=156.467              x[2341]=297.779              x[4116]=89.1753              x[5891]=235.158              
x[567 ]=361.892              x[2342]=129.465              x[4117]=203.467              x[5892]=188.634              
x[568 ]=154.87               x[2343]=298.353              x[4118]=87.8968              x[5893]=239.046              
x[569 ]=360.08               x[2344]=129.416              x[4119]=202.472              x[5894]=205.638              
x[570 ]=153.466              x[2345]=298.979              x[4120]=86.5119              x[5895]=242.253              
x[571 ]=358.297              x[2346]=129.296              x[4121]=201.532              x[5896]=-29.7055             
x[572 ]=152.26               x[2347]=299.619              x[4122]=84.9857              x[5897]=142.954              
x[573 ]=356.567              x[2348]=129.241              x[4123]=200.656              x[5898]=-14.2656             
x[574 ]=151.117              x[2349]=300.332              x[4124]=82.9258              x[5899]=143.895              
x[575 ]=354.844              x[2350]=129.249              x[4125]=199.646              x[5900]=-0.662612            
x[576 ]=150.151              x[2351]=301.108              x[4126]=80.6365              x[5901]=144.564              
x[577 ]=353.193              x[2352]=129.218              x[4127]=198.722              x[5902]=11.1957              
x[578 ]=149.362              x[2353]=301.91               x[4128]=78.0631              x[5903]=145.131              
x[579 ]=351.632              x[2354]=129.285              x[4129]=197.895              x[5904]=21.1291              
x[580 ]=148.615              x[2355]=302.797              x[4130]=74.7907              x[5905]=145.5                
x[581 ]=350.109              x[2356]=129.449              x[4131]=196.974              x[5906]=29.6677              
x[582 ]=148.019              x[2357]=303.762              x[4132]=71.0989              x[5907]=145.99               
x[583 ]=348.682              x[2358]=129.611              x[4133]=196.18               x[5908]=36.996               
x[584 ]=147.574              x[2359]=304.765              x[4134]=66.907               x[5909]=146.66               
x[585 ]=347.363              x[2360]=129.91               x[4135]=195.521              x[5910]=42.9453              
x[586 ]=147.143              x[2361]=305.868              x[4136]=61.7743              x[5911]=147.333              
x[587 ]=346.095              x[2362]=130.348              x[4137]=194.8                x[5912]=48.0397              
x[588 ]=146.835              x[2363]=307.062              x[4138]=55.9573              x[5913]=148.21               
x[589 ]=344.933              x[2364]=130.827              x[4139]=194.217              x[5914]=52.4352              
x[590 ]=146.651              x[2365]=308.311              x[4140]=49.3555              x[5915]=149.273              
x[591 ]=343.886              x[2366]=131.491              x[4141]=193.753              x[5916]=55.9166              
x[592 ]=146.451              x[2367]=309.673              x[4142]=41.5142              x[5917]=150.291              
x[593 ]=342.893              x[2368]=132.345              x[4143]=193.17               x[5918]=58.9495              
x[594 ]=146.348              x[2369]=311.142              x[4144]=32.6806              x[5919]=151.44               
x[595 ]=342.006              x[2370]=133.295              x[4145]=192.612              x[5920]=61.628               
x[596 ]=146.341              x[2371]=312.677              x[4146]=22.7486              x[5921]=152.692              
x[597 ]=341.233              x[2372]=134.489              x[4147]=191.999              x[5922]=63.6783              
x[598 ]=146.291              x[2373]=314.337              x[4148]=11.2601              x[5923]=153.821              
x[599 ]=340.511              x[2374]=135.935              x[4149]=191.008              x[5924]=65.5147              
x[600 ]=146.31               x[2375]=316.112              x[4150]=-1.5442              x[5925]=155.013              
x[601 ]=339.89               x[2376]=137.543              x[4151]=189.746              x[5926]=67.1886              
x[602 ]=146.397              x[2377]=317.959              x[4152]=-15.7036             x[5927]=156.254              
x[603 ]=339.377              x[2378]=139.461              x[4153]=188.074              x[5928]=68.3902              
x[604 ]=146.415              x[2379]=319.929              x[4154]=217.877              x[5929]=157.328              
x[605 ]=338.909              x[2380]=141.699              x[4155]=284.535              x[5930]=69.5059              
x[606 ]=146.473              x[2381]=322.006              x[4156]=204.376              x[5931]=158.432              
x[607 ]=338.534              x[2382]=144.167              x[4157]=282.904              x[5932]=70.5643              
x[608 ]=146.571              x[2383]=324.137              x[4158]=191.803              x[5933]=159.563              
x[609 ]=338.259              x[2384]=147.009              x[4159]=280.539              x[5934]=71.2376              
x[610 ]=146.57               x[2385]=326.364              x[4160]=180.273              x[5935]=160.511              
x[611 ]=338.019              x[2386]=150.232              x[4161]=277.666              x[5936]=71.8979              
x[612 ]=146.579              x[2387]=328.655              x[4162]=169.52               x[5937]=161.48               
x[613 ]=337.864              x[2388]=153.736              x[4163]=274.346              x[5938]=72.5624              
x[614 ]=146.596              x[2389]=330.942              x[4164]=159.821              x[5939]=162.469              
x[615 ]=337.798              x[2390]=157.656              x[4165]=270.852              x[5940]=72.894               
x[616 ]=146.479              x[2391]=333.25               x[4166]=151.186              x[5941]=163.274              
x[617 ]=337.757              x[2392]=161.985              x[4167]=267.338              x[5942]=73.2574              
x[618 ]=146.337              x[2393]=335.527              x[4168]=143.32               x[5943]=164.101              
x[619 ]=337.788              x[2394]=166.607              x[4169]=263.796              x[5944]=73.664               
x[620 ]=146.165              x[2395]=337.686              x[4170]=136.449              x[5945]=164.951              
x[621 ]=337.896              x[2396]=171.639              x[4171]=260.423              x[5946]=73.7717              
x[622 ]=145.818              x[2397]=339.732              x[4172]=130.533              x[5947]=165.622              
x[623 ]=338.015              x[2398]=177.053              x[4173]=257.293              x[5948]=73.9414              
x[624 ]=145.404              x[2399]=341.596              x[4174]=125.231              x[5949]=166.321              
x[625 ]=338.192              x[2400]=182.712              x[4175]=254.319              x[5950]=74.1812              
x[626 ]=144.915              x[2401]=343.172              x[4176]=120.733              x[5951]=167.051              
x[627 ]=338.429              x[2402]=188.709              x[4177]=251.627              x[5952]=74.1463              
x[628 ]=144.204              x[2403]=344.452              x[4178]=116.977              x[5953]=167.608              
x[629 ]=338.659              x[2404]=194.988              x[4179]=249.232              x[5954]=74.1955              
x[630 ]=143.376              x[2405]=345.358              x[4180]=113.61               x[5955]=168.2                
x[631 ]=338.927              x[2406]=201.387              x[4181]=246.998              x[5956]=74.3353              
x[632 ]=142.422              x[2407]=345.782              x[4182]=110.827              x[5957]=168.831              
x[633 ]=339.232              x[2408]=207.957              x[4183]=245.019              x[5958]=74.2194              
x[634 ]=141.193              x[2409]=345.73               x[4184]=108.575              x[5959]=169.297              
x[635 ]=339.505              x[2410]=214.583              x[4185]=243.289              x[5960]=74.2059              
x[636 ]=139.793              x[2411]=345.186              x[4186]=106.519              x[5961]=169.808              
x[637 ]=339.787              x[2412]=22.3782              x[4187]=241.659              x[5962]=74.3003              
x[638 ]=138.21               x[2413]=261.421              x[4188]=104.87               x[5963]=170.364              
x[639 ]=340.073              x[2414]=32.4619              x[4189]=240.222              x[5964]=74.1561              
x[640 ]=136.298              x[2415]=263.622              x[4190]=103.598              x[5965]=170.765              
x[641 ]=340.289              x[2416]=42.201               x[4191]=238.969              x[5966]=74.131               
x[642 ]=134.159              x[2417]=265.46               x[4192]=102.386              x[5967]=171.217              
x[643 ]=340.471              x[2418]=51.3973              x[4193]=237.757              x[5968]=74.2308              
x[644 ]=131.782              x[2419]=266.984              x[4194]=101.464              x[5969]=171.725              
x[645 ]=340.61               x[2420]=59.7394              x[4195]=236.681              x[5970]=74.1094              
x[646 ]=129.023              x[2421]=268.1                x[4196]=100.815              x[5971]=172.084              
x[647 ]=340.625              x[2422]=67.4926              x[4197]=235.74               x[5972]=74.1253              
x[648 ]=125.984              x[2423]=269.028              x[4198]=100.136              x[5973]=172.505              
x[649 ]=340.548              x[2424]=74.6502              x[4199]=234.795              x[5974]=74.2851              
x[650 ]=122.66               x[2425]=269.801              x[4200]=99.6715              x[5975]=172.989              
x[651 ]=340.363              x[2426]=80.9638              x[4201]=233.948              x[5976]=74.2444              
x[652 ]=118.905              x[2427]=270.329              x[4202]=99.4134              x[5977]=173.335              
x[653 ]=339.984              x[2428]=86.7415              x[4203]=233.2                x[5978]=74.3632              
x[654 ]=114.826              x[2429]=270.811              x[4204]=99.0682              x[5979]=173.753              
x[655 ]=339.438              x[2430]=91.999               x[4205]=232.42               x[5980]=74.6509              
x[656 ]=110.418              x[2431]=271.26               x[4206]=98.8855              x[5981]=174.247              
x[657 ]=338.705              x[2432]=96.5048              x[4207]=231.71               x[5982]=74.7656              
x[658 ]=105.537              x[2433]=271.567              x[4208]=98.8649              x[5983]=174.616              
x[659 ]=337.699              x[2434]=100.579              x[4209]=231.078              x[5984]=75.0713              
x[660 ]=100.291              x[2435]=271.909              x[4210]=98.7177              x[5985]=175.072              
x[661 ]=336.441              x[2436]=104.245              x[4211]=230.391              x[5986]=75.5819              
x[662 ]=94.6711              x[2437]=272.283              x[4212]=98.6975              x[5987]=175.621              
x[663 ]=334.913              x[2438]=107.276              x[4213]=229.757              x[5988]=75.961               
x[664 ]=88.5329              x[2439]=272.561              x[4214]=98.8072              x[5989]=176.067              
x[665 ]=333.024              x[2440]=109.995              x[4215]=229.184              x[5990]=76.5798              
x[666 ]=81.9906              x[2441]=272.909              x[4216]=98.7609              x[5991]=176.624              
x[667 ]=330.792              x[2442]=112.423              x[4217]=228.542              x[5992]=77.4607              
x[668 ]=75.0662              x[2443]=273.31               x[4218]=98.8142              x[5993]=177.306              
x[669 ]=328.224              x[2444]=114.332              x[4219]=227.939              x[5994]=78.2785              
x[670 ]=187.189              x[2445]=273.628              x[4220]=98.9716              x[5995]=177.921              
x[671 ]=376.486              x[2446]=116.038              x[4221]=227.385              x[5996]=79.4179              
x[672 ]=184.921              x[2447]=274.022              x[4222]=98.9484              x[5997]=178.693              
x[673 ]=378.119              x[2448]=117.559              x[4223]=226.749              x[5998]=80.9187              
x[674 ]=182.752              x[2449]=274.471              x[4224]=99.0006              x[5999]=179.644              
x[675 ]=379.368              x[2450]=118.658              x[4225]=226.142              x[6000]=82.4767              
x[676 ]=180.649              x[2451]=274.835              x[4226]=99.1331              x[6001]=180.597              
x[677 ]=380.229              x[2452]=119.645              x[4227]=225.573              x[6002]=84.5047              
x[678 ]=178.483              x[2453]=275.271              x[4228]=99.0608              x[6003]=181.79               
x[679 ]=380.684              x[2454]=120.53               x[4229]=224.913              x[6004]=87.0761              
x[680 ]=176.393              x[2455]=275.759              x[4230]=99.0393              x[6005]=183.264              
x[681 ]=380.825              x[2456]=121.07               x[4231]=224.273              x[6006]=89.9289              
x[682 ]=174.377              x[2457]=276.158              x[4232]=99.0722              x[6007]=184.86               
x[683 ]=380.674              x[2458]=121.568              x[4233]=223.662              x[6008]=93.5285              
x[684 ]=172.322              x[2459]=276.627              x[4234]=98.8731              x[6009]=186.838              
x[685 ]=380.207              x[2460]=122.027              x[4235]=222.953              x[6010]=98.0087              
x[686 ]=170.367              x[2461]=277.145              x[4236]=98.6956              x[6011]=189.258              
x[687 ]=379.514              x[2462]=122.198              x[4237]=222.257              x[6012]=103.177              
x[688 ]=168.512              x[2463]=277.575              x[4238]=98.5409              x[6013]=191.975              
x[689 ]=378.617              x[2464]=122.38               x[4239]=221.584              x[6014]=109.568              
x[690 ]=166.645              x[2465]=278.076              x[4240]=98.1194              x[6015]=195.239              
x[691 ]=377.495              x[2466]=122.572              x[4241]=220.809              x[6016]=117.376              
x[692 ]=164.905              x[2467]=278.629              x[4242]=97.681               x[6017]=199.072              
x[693 ]=376.236              x[2468]=122.519              x[4243]=220.044              x[6018]=126.439              
x[694 ]=163.292              x[2469]=279.097              x[4244]=97.2225              x[6019]=203.244              
x[695 ]=374.863              x[2470]=122.518              x[4245]=219.302              x[6020]=137.273              
x[696 ]=161.691              x[2471]=279.641              x[4246]=96.4489              x[6021]=207.867              
x[697 ]=373.351              x[2472]=122.564              x[4247]=218.459              x[6022]=150.002              
x[698 ]=160.237              x[2473]=280.244              x[4248]=95.6038              x[6023]=212.774              
x[699 ]=371.787              x[2474]=122.401              x[4249]=217.629              x[6024]=164.342              
x[700 ]=158.928              x[2475]=280.77               x[4250]=94.6762              x[6025]=217.513              
x[701 ]=370.187              x[2476]=122.323              x[4251]=216.829              x[6026]=180.658              
x[702 ]=157.644              x[2477]=281.38               x[4252]=93.3625              x[6027]=222.022              
x[703 ]=368.523              x[2478]=122.324              x[4253]=215.939              x[6028]=199.001              
x[704 ]=156.516              x[2479]=282.057              x[4254]=91.8953              x[6029]=225.99               
x[705 ]=366.876              x[2480]=122.148              x[4255]=215.077              x[6030]=-33.1072             
x[706 ]=155.535              x[2481]=282.668              x[4256]=90.2518              x[6031]=126.89               
x[707 ]=365.256              x[2482]=122.087              x[4257]=214.263              x[6032]=-17.2759             
x[708 ]=154.579              x[2483]=283.374              x[4258]=88.1141              x[6033]=127.612              
x[709 ]=363.627              x[2484]=122.136              x[4259]=213.383              x[6034]=-3.64259             
x[710 ]=153.774              x[2485]=284.16               x[4260]=85.699               x[6035]=128.034              
x[711 ]=362.063              x[2486]=122.039              x[4261]=212.558              x[6036]=8.07391              
x[712 ]=153.108              x[2487]=284.891              x[4262]=82.9657              x[6037]=128.391              
x[713 ]=360.569              x[2488]=122.09               x[4263]=211.813              x[6038]=17.7891              
x[714 ]=152.456              x[2489]=285.732              x[4264]=79.5772              x[6039]=128.712              
x[715 ]=359.102              x[2490]=122.285              x[4265]=211.033              x[6040]=25.9871              
x[716 ]=151.941              x[2491]=286.666              x[4266]=75.7301              x[6041]=129.201              
x[717 ]=357.732              x[2492]=122.37               x[4267]=210.34               x[6042]=32.9053              
x[718 ]=151.55               x[2493]=287.563              x[4268]=71.3641              x[6043]=129.915              
x[719 ]=356.457              x[2494]=122.643              x[4269]=209.752              x[6044]=38.4845              
x[720 ]=151.154              x[2495]=288.585              x[4270]=66.1239              x[6045]=130.733              
x[721 ]=355.229              x[2496]=123.101              x[4271]=209.142              x[6046]=43.1889              
x[722 ]=150.877              x[2497]=289.719              x[4272]=60.1916              x[6047]=131.738              
x[723 ]=354.114              x[2498]=123.496              x[4273]=208.613              x[6048]=47.203               
x[724 ]=150.704              x[2499]=290.833              x[4274]=53.4961              x[6049]=132.909              
x[725 ]=353.106              x[2500]=124.127              x[4275]=208.152              x[6050]=50.3958              
x[726 ]=150.506              x[2501]=292.094              x[4276]=45.6763              x[6051]=134.081              
x[727 ]=352.155              x[2502]=125                  x[4277]=207.597              x[6052]=53.1465              
x[728 ]=150.406              x[2503]=293.487              x[4278]=36.9121              x[6053]=135.332              
x[729 ]=351.322              x[2504]=125.869              x[4279]=206.998              x[6054]=55.5609              
x[730 ]=150.388              x[2505]=294.882              x[4280]=27.1307              x[6055]=136.647              
x[731 ]=350.599              x[2506]=127.042              x[4281]=206.283              x[6056]=57.4372              
